Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
10,25.5,0.11,9.4,1.35,0.05,0.45,0.22,0.071,0,0.071,0,0.0022,1050,30,750,90,600
123,21.3,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,500
182,14.36,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,550
154,13.5,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,300
256,14.85,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0,0.015,0.039,0,1050,30,650,90,300
249,28.36,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,500
200,17.6,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,550
67,13,0.1,9.3,0.93,0.11,0.4,0.22,0.094,0,0,0,0.002,1000,60,650,120,25
258,18,0.12,8.95,2.01,0.23,0.51,0.24,0,0,0,0.01,0,1040,60,760,60,25
219,42.37,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,650
57,15.6,0.1,8.92,2.02,0.01,0.01,0.26,0.069,0,0,0.04,0,1050,30,750,60,25
97,22.75,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,600
155,17.35,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,550
145,22,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,550
68,12.9,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,500
9,24.87,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,650
211,17.4,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,25
187,20.12,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,600
72,29.37,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,25
201,21,0.1,9,1.5,0,0.45,0.2,0.15,0,0.2,0,0,980,30,760,90,25
89,12.32,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,350
176,15.9,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0,0,0.001,0.0098,1040,40,750,60,400
93,16.2,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0,0.006,0,0.0023,1050,30,750,90,25
158,14.64,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,300
88,23.8,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,60,400
65,15,0.09,8.8,1.02,0.13,0.44,0.21,0.089,0,0,0.014,0.002,1000,30,650,90,25
247,14.7,0.097,8.99,2.01,0.049,0.5,0.2,0.1,0,0,0.002,0.015,1050,60,780,30,300
98,12.7,0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,550
139,17.4,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,25
192,25.8,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0,0.0032,1050,30,750,90,650
204,28,0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,550
114,20.44,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,650,90,650
180,18,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,200
82,20,0.096,8.97,2.01,0.05,0.49,0.2,0.14,0,0,0.002,0.0151,1050,60,780,30,600
